instrument_id,instrument_number,timestamp,open,high,low,close,volume
6618881,AFFORDABLE,2026-01-07T10:15:00+05:30,1512.1,1513.6,1502.2,1506.2,1399434
6618881,AFFORDABLE,2026-01-07T11:15:00+05:30,1506.1,1511.2,1505.1,1505.6,972753
6618881,AFFORDABLE,2026-01-07T12:15:00+05:30,1505.5,1506,1502.3,1504.6,1142343
6618881,AFFORDABLE,2026-01-07T13:15:00+05:30,1504.7,1506,1500.8,1502.8,1163401
6618881,AFFORDABLE,2026-01-07T14:15:00+05:30,1502.8,1506.4,1498,1504.6,2690985
6618881,AFFORDABLE,2026-01-07T15:15:00+05:30,1504.6,1505.5,1502.7,1505.2,1155719
6618881,AFFORDABLE,2026-01-08T09:15:00+05:30,1500,1503.9,1488.6,1493.2,2253624
6618881,AFFORDABLE,2026-01-08T10:15:00+05:30,1493.2,1493.3,1482,1485.5,2174252
6618881,AFFORDABLE,2026-01-08T11:15:00+05:30,1485.3,1485.5,1476.1,1479.7,1728606
6618881,AFFORDABLE,2026-01-08T12:15:00+05:30,1479.8,1480,1470.4,1474,2917076
6618881,AFFORDABLE,2026-01-08T13:15:00+05:30,1473.9,1474,1468.8,1470.6,2710824
6618881,AFFORDABLE,2026-01-08T14:15:00+05:30,1470.6,1472.8,1468.9,1469.9,3071191
6618881,AFFORDABLE,2026-01-08T15:15:00+05:30,1470.1,1472,1469.1,1470.9,1587609
6618881,AFFORDABLE,2026-01-09T09:15:00+05:30,1465,1479.9,1465,1472,2303688
6618881,AFFORDABLE,2026-01-09T10:15:00+05:30,1472.1,1477.7,1469.3,1469.8,1090838
6618881,AFFORDABLE,2026-01-09T11:15:00+05:30,1470.1,1475,1466.5,1470.7,982066
6618881,AFFORDABLE,2026-01-09T12:15:00+05:30,1470.7,1472.4,1465,1471.1,887838
6618881,AFFORDABLE,2026-01-09T13:15:00+05:30,1471.1,1478.8,1470.1,1470.3,933464
6618881,AFFORDABLE,2026-01-09T14:15:00+05:30,1470.7,1476.5,1469.6,1476.1,1326356
6618881,AFFORDABLE,2026-01-09T15:15:00+05:30,1476,1476.2,1473.9,1476,589487
6618881,AFFORDABLE,2026-01-12T09:15:00+05:30,1475.3,1477.9,1456.3,1461.8,1155840
6618881,AFFORDABLE,2026-01-12T10:15:00+05:30,1461.6,1465,1453.2,1455.9,1157577
6618881,AFFORDABLE,2026-01-12T11:15:00+05:30,1455.9,1461.6,1451,1461.6,1178338
6618881,AFFORDABLE,2026-01-12T12:15:00+05:30,1461.6,1473.8,1460.1,1472.3,1291488
6618881,AFFORDABLE,2026-01-12T13:15:00+05:30,1472.3,1480.7,1469.6,1478.7,1008455
6618881,AFFORDABLE,2026-01-12T14:15:00+05:30,1478.8,1484.8,1477.5,1483.4,1827461
6618881,AFFORDABLE,2026-01-12T15:15:00+05:30,1483.4,1485.3,1483,1484,881743
6618881,AFFORDABLE,2026-01-13T09:15:00+05:30,1485,1485.8,1460.2,1467,2791088
6618881,AFFORDABLE,2026-01-13T10:15:00+05:30,1467,1469.8,1464,1467.1,787191
6618881,AFFORDABLE,2026-01-13T11:15:00+05:30,1467,1468.9,1455,1456,1042047
6618881,AFFORDABLE,2026-01-13T12:15:00+05:30,1456,1463,1453.3,1454.5,981905
6618881,AFFORDABLE,2026-01-13T13:15:00+05:30,1454.5,1456.4,1451.6,1453.8,1288651
6618881,AFFORDABLE,2026-01-13T14:15:00+05:30,1453.8,1456.8,1444.7,1454.9,5110049
6618881,AFFORDABLE,2026-01-13T15:15:00+05:30,1454.9,1460,1452.9,1456.9,1413040
6618881,AFFORDABLE,2026-01-14T09:15:00+05:30,1444,1458.8,1440.2,1455.4,1481344
6618881,AFFORDABLE,2026-01-14T10:15:00+05:30,1455.4,1465.8,1454.1,1463.3,915115
6618881,AFFORDABLE,2026-01-14T11:15:00+05:30,1463.1,1466,1460,1461,627065
6618881,AFFORDABLE,2026-01-14T12:15:00+05:30,1461,1467,1460.6,1463.5,724730
6618881,AFFORDABLE,2026-01-14T13:15:00+05:30,1463.3,1464.2,1453,1458.5,842718
6618881,AFFORDABLE,2026-01-14T14:15:00+05:30,1458.6,1462.8,1455.6,1457.1,2744659
6618881,AFFORDABLE,2026-01-14T15:15:00+05:30,1457.1,1459.3,1455,1458.8,770334
6618881,AFFORDABLE,2026-01-16T09:15:00+05:30,1458.8,1472.5,1458.8,1466.8,3407947
6618881,AFFORDABLE,2026-01-16T10:15:00+05:30,1466.7,1480,1466.7,1473.1,2140588
6618881,AFFORDABLE,2026-01-16T11:15:00+05:30,1473.3,1474.9,1464.3,1470.5,2849925
6618881,AFFORDABLE,2026-01-16T12:15:00+05:30,1470.5,1471.1,1455.1,1458.7,1849322
6618881,AFFORDABLE,2026-01-16T13:15:00+05:30,1458.7,1464.8,1456.1,1458,2119060
6618881,AFFORDABLE,2026-01-16T14:15:00+05:30,1457.9,1463,1455.9,1456.7,2471710
6618881,AFFORDABLE,2026-01-16T15:15:00+05:30,1456.7,1461.5,1455.9,1461.2,1438818
6618881,AFFORDABLE,2026-01-19T09:15:00+05:30,1450.6,1450.6,1418.6,1424.4,4961360
6618881,AFFORDABLE,2026-01-19T10:15:00+05:30,1424.4,1424.8,1406.3,1408.9,4139775
6618881,AFFORDABLE,2026-01-19T11:15:00+05:30,1409,1413.9,1408,1408.3,1547438
6618881,AFFORDABLE,2026-01-19T12:15:00+05:30,1408.4,1409.6,1403.3,1404.6,2677149
6618881,AFFORDABLE,2026-01-19T13:15:00+05:30,1404.7,1414.5,1403.9,1412.2,2798496
6618881,AFFORDABLE,2026-01-19T14:15:00+05:30,1412.1,1416.1,1411.4,1414.2,2506627
6618881,AFFORDABLE,2026-01-19T15:15:00+05:30,1414.2,1414.3,1411.9,1413.2,1477481
6618881,AFFORDABLE,2026-01-20T09:15:00+05:30,1410.7,1416,1402.2,1406.7,2380148
6618881,AFFORDABLE,2026-01-20T10:15:00+05:30,1406.7,1409.9,1399.5,1399.9,1366770
6618881,AFFORDABLE,2026-01-20T11:15:00+05:30,1399.9,1406,1399.2,1402.2,1129665
6618881,AFFORDABLE,2026-01-20T12:15:00+05:30,1402.2,1406.8,1402,1404.1,866861
